src_port,dst_port,protocol,packets_per_sec,bytes_per_sec,avg_packet_size,flow_duration_sec,src_ip_entropy,dst_port_entropy,dst_ip_entropy,new_flows_per_sec,num_distinct_src_ips,num_distinct_dst_ips,label
0,0,1,0.5,49.0,98.0,57.25,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,1.0,98.0,98.0,59.255,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,0.5,49.0,98.0,59.255,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,1.0,98.0,98.0,59.253,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,0.5,49.0,98.0,59.253,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,1.0,98.0,98.0,61.257,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,0.5,49.0,98.0,61.257,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,1.0,98.0,98.0,61.255,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,0.5,49.0,98.0,61.255,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,1.0,98.0,98.0,63.258,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,0.5,49.0,98.0,63.258,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,1.0,98.0,98.0,63.256,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,0.5,49.0,98.0,63.256,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,1.0,98.0,98.0,65.26,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,0.5,49.0,98.0,65.26,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,1.0,98.0,98.0,65.258,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,0.5,49.0,98.0,65.258,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,1.0,98.0,98.0,67.262,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,0.5,49.0,98.0,67.262,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,1.0,98.0,98.0,67.26,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,0.5,49.0,98.0,67.26,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,1.0,98.0,98.0,69.265,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,0.5,49.0,98.0,69.265,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,1.0,98.0,98.0,69.263,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,0.5,49.0,98.0,69.263,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,1.0,98.0,98.0,71.267,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,0.5,49.0,98.0,71.267,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,1.0,98.0,98.0,71.265,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,0.5,49.0,98.0,71.265,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,1.0,98.0,98.0,73.269,1.5,-0.0,1.5,0.0,3,3,normal
